FAC_NAME,COUNTY_NAME,YEAR_QTR,OP_STATUS,TYPE_HOSP,AVL_BEDS,DAY_TOT,VIS_TOT,GRIP_TOT,GROP_TOT,BAD_DEBT,CAP_TOT,NET_TOT,TOT_OP_EXP,EXP_PIPS,EXP_POPS,CAP_EXP,YEAR,QUARTER,POPULATION
ANTELOPE VALLEY HOSPITAL,Los Angeles,20201,OPEN,Comparable,393,21657,38118,321637741,174212583,10391086,1376082,109004446,114072519,0,0,7754872,2020,1,9748447
ARROWHEAD REGIONAL MEDICAL CENTER,San Bernardino,20201,OPEN,Comparable,436,29727,80391,284847846,156744996,274673,0,112063176,153222243,0,0,2201548,2020,1,2196029
AURORA BEHAVIORAL HEALTHCARE - SANTA ROSA,Sonoma,20201,OPEN,Comparable,95,7061,760,15553425,419125,0,0,9641517,9555216,0,0,25884,2020,1,483398
AURORA CHARTER OAK,Los Angeles,20201,OPEN,Comparable,134,11518,3035,17327375,1449440,0,0,10886244,10523718,0,0,906791,2020,1,9748447
AURORA LAS ENCINAS HOSPITAL,Los Angeles,20201,OPEN,Comparable,118,6274,1956,11648425,945000,0,0,6607305,7594622,0,0,53635,2020,1,9748447
AURORA SAN DIEGO,San Diego,20201,OPEN,Comparable,92,8362,3255,13528475,1739360,0,0,9144591,7518478,0,0,60717,2020,1,3283755
AURORA VISTA DEL MAR HOSPITAL,Ventura,20201,OPEN,Comparable,44,3981,960,6664025,546770,0,0,4091114,5437428,0,0,98741,2020,1,835032
BAKERSFIELD BEHAVIORAL HEALTHCARE HOSPITAL,Kern,20201,OPEN,Comparable,90,4632,363,9281300,188125,0,0,4335229,4982732,0,0,1087,2020,1,917293
BAKERSFIELD HEART HOSPITAL,Kern,20201,OPEN,Comparable,47,3504,3519,64440624,46109246,13884,0,21093558,19657931,0,0,578869,2020,1,917293
BAKERSFIELD MEMORIAL HOSPITAL,Kern,20201,OPEN,Comparable,372,17402,39364,335526623,208568313,4075067,14311712,156063038,144182037,0,0,47927639,2020,1,917293
BALLARD REHABILITATION HOSPITAL,San Bernardino,20201,OPEN,Comparable,60,3684,2670,11430590,980376,68581,0,6728688,4822042,0,0,84858,2020,1,2196029
BANNER LASSEN MEDICAL CENTER,Lassen,20201,OPEN,Comparable,25,860,7966,6183092,15588250,536791,0,9943270,9339270,0,0,1807564,2020,1,30401
BARLOW RESPIRATORY HOSPITAL,Los Angeles,20201,OPEN,Comparable,105,7376,0,144636967,0,48483,0,17086301,16357946,0,0,1076493,2020,1,9748447
BARSTOW COMMUNITY HOSPITAL,San Bernardino,20201,OPEN,Comparable,30,1555,9027,39710950,76130261,3018819,0,14584144,11596974,0,0,52123,2020,1,2196029
BARTON MEMORIAL HOSPITAL,El Dorado,20201,OPEN,Comparable,111,1451,11670,41997929,78773711,4026360,0,39325104,47061078,0,0,1378071,2020,1,193071
BEAR VALLEY COMMUNITY HOSPITAL,San Bernardino,20201,OPEN,Comparable,30,1368,12768,926915,12599220,864443,0,6090144,6564331,0,0,2622037,2020,1,2196029
BEVERLY HOSPITAL,Los Angeles,20201,OPEN,Comparable,167,10392,10996,85463494,39023290,3051150,7563834,43430707,47043061,0,0,411041,2020,1,9748447
BHC ALHAMBRA HOSPITAL,Los Angeles,20201,OPEN,Comparable,97,7844,3736,13339868,2054755,250220,0,9021735,6862330,0,0,76072,2020,1,9748447
CALIFORNIA HOSPITAL MEDICAL CENTER,Los Angeles,20201,OPEN,Comparable,318,17273,25396,229664628,137458649,1251579,25555062,182618266,138414149,0,0,11393196,2020,1,9748447
CALIFORNIA PACIFIC MEDICAL CENTER - MISSION BERNAL CAMPUS,San Francisco,20201,OPEN,Comparable,120,6557,6258,100181914,46292628,1202739,0,39383543,77305886,0,0,9699281,2020,1,814176
CALIFORNIA PACIFIC MEDICAL CENTER - VAN NESS CAMPUS,San Francisco,20201,OPEN,Comparable,453,28731,31448,508632323,286224067,3510852,14137625,284003929,310675535,0,0,40034445,2020,1,814176
CALIFORNIA REHABILITATION INSTITUTE,Los Angeles,20201,OPEN,Comparable,138,11641,1093,89728196,369590,313206,0,32019911,25837869,0,0,73554,2020,1,9748447
CANYON RIDGE HOSPITAL,San Bernardino,20201,OPEN,Comparable,106,8987,3085,16180878,2284740,421923,0,9020815,5413484,0,0,5434238,2020,1,2196029
CASA COLINA HOSPITAL AND CENTER FOR HEALTH CARE,Los Angeles,20201,OPEN,Comparable,99,6829,26055,42021666,21375043,-74808,0,23163384,20989474,0,0,3226959,2020,1,9748447
"CASA PALMERA CARE CENTER, LLC",San Diego,20201,OPEN,Comparable,55,2934,1488,9186374,886102,201449,0,2901492,2880336,0,0,6631,2020,1,3283755
CATALINA ISLAND MEDICAL CENTER,Los Angeles,20201,OPEN,Comparable,12,612,4504,838424,3095745,320885,0,1722670,3130681,0,0,0,2020,1,9748447
CEDARS-SINAI MARINA DEL REY HOSPITAL,Los Angeles,20201,OPEN,Comparable,103,4412,12429,98581409,73948492,682899,0,30266624,31052881,0,0,733300,2020,1,9748447
CEDARS-SINAI MEDICAL CENTER,Los Angeles,20201,OPEN,Comparable,889,67335,204754,2984016168,1753003056,21290928,6006223,752542627,754299347,0,0,64293220,2020,1,9748447
CENTINELA HOSPITAL MEDICAL CENTER,Los Angeles,20201,OPEN,Comparable,362,16771,11436,256236895,54010683,3903203,0,65163982,62713933,0,0,1497382,2020,1,9748447
CENTRAL VALLEY SPECIALTY HOSPITAL,Stanislaus,20201,OPEN,Comparable,96,5949,0,42999484,0,0,0,11769970,10481374,0,0,0,2020,1,552410
CHAPMAN GLOBAL MEDICAL CENTER,Orange,20201,OPEN,Comparable,100,5274,2894,44042305,12508943,1060640,0,10870329,12288946,0,0,1959,2020,1,3158489
CHILDREN'S HEALTHCARE ORGANIZATION OF NORTHERN CA - PEDIATRIC HOSPITAL,Santa Clara,20201,OPEN,Comparable,27,2375,0,5058871,0,0,0,2738988,2821094,0,0,0,2020,1,1883653
CHILDREN'S HOSPITAL AT MISSION,Orange,20201,OPEN,Comparable,54,2586,5130,49628356,27391003,1862662,0,22604238,16757359,0,0,8154,2020,1,3158489
CHILDREN'S HOSPITAL LOS ANGELES,Los Angeles,20201,OPEN,Comparable,379,30168,93210,628337888,211231159,8618096,0,276817211,345643101,0,0,20928277,2020,1,9748447
CHILDREN'S HOSPITAL OF ORANGE COUNTY,Orange,20201,OPEN,Comparable,334,19450,47783,471619316,260521128,7907117,19985701,218171704,191301801,0,0,16895919,2020,1,3158489
CHINESE HOSPITAL,San Francisco,20201,OPEN,Comparable,60,1406,12234,20067179,30848418,870369,9403590,20307969,25957916,0,0,1354926,2020,1,814176
CHINO VALLEY MEDICAL CENTER,San Bernardino,20201,OPEN,Comparable,112,3694,11815,49407471,38822472,3374236,0,20914293,21400574,0,0,1572710,2020,1,2196029
CITY OF HOPE HELFORD CLINICAL RESEARCH HOSPITAL,Los Angeles,20201,OPEN,Comparable,215,19439,45040,493605583,669370984,1095585,0,330651349,270303214,0,0,41520659,2020,1,9748447
CLOVIS COMMUNITY MEDICAL CENTER,Fresno,20201,OPEN,Comparable,208,17905,48408,255041369,273686413,5452504,2060348,118588447,113238611,0,0,20362770,2020,1,1017107
COAST PLAZA HOSPITAL,Los Angeles,20201,OPEN,Comparable,105,2889,4052,47880702,19163417,971765,0,8388146,10478298,0,0,174262,2020,1,9748447
COLLEGE HOSPITAL,Los Angeles,20201,OPEN,Comparable,187,15601,12879,33914800,5903718,703889,0,18677180,16341467,0,0,330581,2020,1,9748447
COLLEGE HOSPITAL COSTA MESA,Orange,20201,OPEN,Comparable,122,10606,3833,25430991,2061780,91980,0,56988171,11733516,0,0,40617,2020,1,3158489
COLLEGE MEDICAL CENTER,Los Angeles,20201,OPEN,Comparable,221,16430,3035,60865022,12492611,1830553,0,20908069,25386698,0,0,132227,2020,1,9748447
COLORADO RIVER MEDICAL CENTER,San Bernardino,20201,OPEN,Comparable,25,333,1401,1783554,8240768,376510,0,2192952,2354607,0,0,25302,2020,1,2196029
COLUSA MEDICAL CENTER,Colusa,20201,OPEN,Comparable,48,1645,11613,6072495,9669289,1080465,0,3804841,4374872,0,0,0,2020,1,21952
COMMUNITY HOSPITAL OF HUNTINGTON PARK,Los Angeles,20201,OPEN,Comparable,81,3848,10606,62407358,42855306,4129076,0,10991862,12176684,0,0,114630,2020,1,9748447
COMMUNITY HOSPITAL OF SAN BERNARDINO,San Bernardino,20201,OPEN,Comparable,345,23223,20515,191164550,77583082,2309802,0,89811391,83471106,0,0,470136,2020,1,2196029
COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA,Monterey,20201,OPEN,Comparable,248,15310,114376,352893072,195958514,3574236,272490,157349973,143814416,0,0,6200575,2020,1,436427
COMMUNITY MEMORIAL HOSPITAL OF SAN BUENAVENTURA,Ventura,20201,OPEN,Comparable,250,12957,115306,181899068,196290917,0,1137401,107082050,117170276,0,0,1108033,2020,1,835032
COMMUNITY REGIONAL MEDICAL CENTER - FRESNO,Fresno,20201,OPEN,Comparable,921,69179,71220,929112746,373952659,9082878,5757831,319585052,339230229,0,0,1986686,2020,1,1017107
CONTRA COSTA REGIONAL MEDICAL CENTER,Contra Costa,20201,OPEN,Comparable,167,10094,126895,79059327,97665890,196459,0,90962627,159070833,0,0,3801681,2020,1,1160296
CORONA REGIONAL MEDICAL CENTER - MAIN,Riverside,20201,OPEN,Comparable,238,13871,30443,179022570,132472324,3520898,0,47105906,50598218,0,0,1609801,2020,1,2479628
DAMERON HOSPITAL ASSOCIATION,San Joaquin,20201,OPEN,Comparable,202,3572,12472,119076780,116501039,4418291,0,25973562,35593090,0,0,362819,2020,1,795880
DEL AMO HOSPITAL,Los Angeles,20201,OPEN,Comparable,166,11721,3181,22160850,1511432,393747,0,11372044,8124700,0,0,73083,2020,1,9748447
DESERT REGIONAL MEDICAL CENTER,Riverside,20201,OPEN,Comparable,367,23194,39082,769101565,353917034,5071694,0,152152455,130649685,0,0,733158,2020,1,2479628
DESERT VALLEY HOSPITAL,San Bernardino,20201,OPEN,Comparable,148,10259,15815,164126357,62929443,6708110,2047256,44513685,37477563,0,0,1994166,2020,1,2196029
DOCS SURGICAL HOSPITAL,Los Angeles,20201,OPEN,Comparable,17,116,14,12420538,1062361,0,0,3168890,3136156,0,0,100342,2020,1,9748447
DOCTORS HOSPITAL OF MANTECA,San Joaquin,20201,OPEN,Comparable,73,4395,15031,152509366,154824360,2833398,0,26239576,27803245,0,0,615398,2020,1,795880
DOCTORS HOSPITAL OF RIVERSIDE,Riverside,20201,OPEN,Comparable,193,8203,13461,137930241,61290673,382097,0,28229310,32513523,0,0,4113546,2020,1,2479628
DOCTORS MEDICAL CENTER - MODESTO,Stanislaus,20201,OPEN,Comparable,461,32420,38887,1181538231,467249017,10743804,5091017,174484198,163493186,0,0,6321467,2020,1,552410
DOMINICAN HOSPITAL,Santa Cruz,20201,OPEN,Comparable,222,12341,37553,320000008,164129807,3158729,0,127815830,117862752,0,0,3110605,2020,1,265851
EAST LOS ANGELES DOCTOR'S HOSPITAL,Los Angeles,20201,OPEN,Comparable,127,3001,4568,63700792,19395907,1342862,1543461,12419706,14466385,0,0,70630,2020,1,9748447
EASTERN PLUMAS HEALTH CARE,Plumas,20201,OPEN,Comparable,75,5138,9868,3247690,6595485,270232,0,6268298,7078566,0,0,197691,2020,1,19433
EDEN MEDICAL CENTER,Alameda,20201,OPEN,Comparable,130,9492,11107,202982111,105515317,2702335,0,83440476,88543071,0,0,325056,2020,1,1635693
EISENHOWER MEDICAL CENTER,Riverside,20201,OPEN,Comparable,345,17985,225632,519396147,497181015,4424201,0,203704650,216017328,0,0,14438722,2020,1,2479628
EL CAMINO HEALTH,Santa Clara,20201,OPEN,Comparable,443,22443,45131,508630640,422829327,-2398117,0,243623177,231701599,0,0,22849698,2020,1,1883653
EL CENTRO REGIONAL MEDICAL CENTER,Imperial,20201,OPEN,Comparable,161,5789,63160,63087146,130704850,3386689,0,38260190,42650088,0,0,3835615,2020,1,179767
EMANATE HEALTH FOOTHILL PRESBYTERIAN HOSPITAL,Los Angeles,20201,OPEN,Comparable,105,6469,15252,57919182,39138290,1300633,0,26020064,25843736,0,0,792023,2020,1,9748447
EMANATE HEALTH QUEEN OF THE VALLEY HOSPITAL,Los Angeles,20201,OPEN,Comparable,516,27883,51371,249568556,104131768,3585297,3787000,119138434,124144512,2537290,1249710,3347071,2020,1,9748447
EMANUEL MEDICAL CENTER,Stanislaus,20201,OPEN,Comparable,209,9415,29385,297423361,372311273,4961558,0,70627583,64707152,0,0,42300,2020,1,552410
ENCINO HOSPITAL MEDICAL CENTER,Los Angeles,20201,OPEN,Comparable,148,5846,2880,52746804,11953965,-3375681,0,14945505,14069948,0,0,380854,2020,1,9748447
ENCOMPASS HEALTH REHABILITATION HOSPITAL OF BAKERSFIELD,Kern,20201,OPEN,Comparable,86,5937,0,16633327,0,185357,0,10646235,8406529,0,0,289540,2020,1,917293
ENCOMPASS HEALTH REHABILITATION HOSPITAL OF MODESTO,Stanislaus,20201,OPEN,Comparable,50,2980,0,8219252,0,62191,0,5546721,4932283,0,0,85341,2020,1,552410
ENCOMPASS HEALTH REHABILITATION HOSPITAL OF MURRIETA,Riverside,20201,OPEN,Comparable,50,444,0,1469462,0,2717,0,203370,2114323,0,0,121948,2020,1,2479628
ENCOMPASS HEALTH REHABILITATION HOSPITAL OF TUSTIN,Orange,20201,OPEN,Comparable,48,3322,0,9423955,0,72273,0,5902355,5672670,0,0,0,2020,1,3158489
ENLOE MEDICAL CENTER - ESPLANADE CAMPUS,Butte,20201,OPEN,Comparable,317,21613,84464,438604759,364982968,10026338,0,157420695,172318992,0,0,7810788,2020,1,207384
FAIRCHILD MEDICAL CENTER,Siskiyou,20201,OPEN,Comparable,25,1141,18851,17737041,36979785,1274926,0,20740148,21242925,0,0,797667,2020,1,43746
FOOTHILL REGIONAL MEDICAL CENTER,Orange,20201,OPEN,Comparable,127,5507,1716,78741234,13965383,533672,23330317,45398552,39152625,0,0,183457,2020,1,3158489
FOUNTAIN VALLEY REGIONAL HOSPITAL AND MC - EUCLID,Orange,20201,OPEN,Comparable,344,20737,16033,560481972,223906632,5650814,21174907,108927894,96268165,0,0,1222617,2020,1,3158489
FREMONT HOSPITAL,Alameda,20201,OPEN,Comparable,148,10029,2193,24074400,1297530,357254,0,14561576,10213654,0,0,0,2020,1,1635693
FRENCH HOSPITAL MEDICAL CENTER - SAN LUIS OBISPO,San Luis Obispo,20201,OPEN,Comparable,72,4840,25196,119126887,83443207,1977489,4646773,47967845,47746689,0,0,3078899,2020,1,282535
FRESNO SURGICAL HOSPITAL,Fresno,20201,OPEN,Comparable,27,893,4621,25498754,56293174,280423,0,21506922,19685595,0,0,220202,2020,1,1017107
GARDEN GROVE HOSPITAL AND MEDICAL CENTER,Orange,20201,OPEN,Comparable,167,4759,7317,63761007,26321567,3339257,0,22159181,20121475,0,0,1694098,2020,1,3158489
GARFIELD MEDICAL CENTER,Los Angeles,20201,OPEN,Comparable,210,11654,6625,291125213,103416599,2242274,32179353,80089675,78673066,0,0,809560,2020,1,9748447
GATEWAYS HOSPITAL AND MENTAL HEALTH CENTER,Los Angeles,20201,OPEN,Comparable,55,2788,21795,4118823,5990512,0,0,8500753,7826662,0,0,5791,2020,1,9748447
GEORGE L. MEE MEMORIAL HOSPITAL,Monterey,20201,OPEN,Comparable,73,3582,27079,11509899,34372165,1021500,0,11309742,17082626,0,0,163934,2020,1,436427
GLENDALE MEMORIAL HOSPITAL AND HEALTH CTR,Los Angeles,20201,OPEN,Comparable,227,10747,17064,175411789,76925403,1280256,3329485,81357859,76306572,0,0,6078416,2020,1,9748447
GLENDORA OAKS BEHAVIORAL HEALTH HOSPITAL,Los Angeles,20201,OPEN,Comparable,21,1599,0,5124125,0,82949,0,1918074,3344568,0,0,1985224,2020,1,9748447
GLENN MEDICAL CENTER,Glenn,20201,OPEN,Comparable,25,1756,11493,3288691,6851076,491352,0,6188332,6521755,0,0,8467,2020,1,28371
GOLETA VALLEY COTTAGE HOSPITAL,Santa Barbara,20201,OPEN,Comparable,28,1020,12972,38048933,34330512,395826,0,25582121,21249617,0,0,406874,2020,1,445286
GOOD SAMARITAN HOSPITAL - BAKERSFIELD,Kern,20201,OPEN,Comparable,64,2806,1706,10300768,2326370,175262,0,4979057,6231240,0,0,23023,2020,1,917293
GOOD SAMARITAN HOSPITAL - LA,Los Angeles,20201,OPEN,Comparable,333,19471,18633,402096989,133599009,2357062,2773733,114186551,120615335,0,0,949628,2020,1,9748447
GOOD SAMARITAN HOSPITAL - SAN JOSE,Santa Clara,20201,OPEN,Comparable,351,20934,31426,836751516,435951723,0,0,155918295,131304647,0,0,8641208,2020,1,1883653
GREATER EL MONTE COMMUNITY HOSPITAL,Los Angeles,20201,OPEN,Comparable,117,5065,6128,62944821,27042655,2121420,1762958,21255582,17578245,0,0,43875,2020,1,9748447
HAZEL HAWKINS MEMORIAL HOSPITAL,San Benito,20201,OPEN,Comparable,142,8452,45547,18501449,55625215,1018614,0,26219851,32037547,0,0,410362,2020,1,67715
HEALDSBURG DISTRICT HOSPITAL,Sonoma,20201,OPEN,Comparable,38,2084,10568,11338050,19343423,555375,166015,15736881,16072769,0,0,185935,2020,1,483398
HEALTHBRIDGE CHILDREN'S HOSPITAL - ORANGE,Orange,20201,OPEN,Comparable,27,2024,496,11475518,238505,35494,0,2677148,2332290,0,0,35476,2020,1,3158489
HEMET GLOBAL MEDICAL CENTER,Riverside,20201,OPEN,Comparable,309,15393,15383,131876992,70482696,30000,0,55111137,37068742,0,0,206638,2020,1,2479628
HENRY MAYO NEWHALL HOSPITAL,Los Angeles,20201,OPEN,Comparable,277,13311,27465,246426578,193822520,8779473,0,83491379,88979553,0,0,2184664,2020,1,9748447
HERITAGE OAKS HOSPITAL,Sacramento,20201,OPEN,Comparable,120,10551,4846,16882480,3014544,167190,0,12316850,8249480,0,0,13063,2020,1,1588743
HI-DESERT MEDICAL CENTER,San Bernardino,20201,OPEN,Comparable,175,10498,13849,40506175,52152884,238355,0,16553738,19431009,0,0,712869,2020,1,2196029
HIGHLAND HOSPITAL,Alameda,20201,OPEN,Comparable,438,35055,76743,421259396,208812813,25257387,56388895,200990549,254879174,0,0,16457212,2020,1,1635693
HOAG MEMORIAL HOSPITAL PRESBYTERIAN,Orange,20201,OPEN,Comparable,517,32693,116571,461564307,438176358,9609530,15347733,276340368,296844634,0,0,32060419,2020,1,3158489
HOAG ORTHOPEDIC INSTITUTE,Orange,20201,OPEN,Comparable,70,1673,431,88194176,22919090,131322,0,32246915,24419829,0,0,428384,2020,1,3158489
HOLLYWOOD PRESBYTERIAN MEDICAL CENTER,Los Angeles,20201,OPEN,Comparable,413,25188,14993,292670163,80633780,-2155021,23570998,95725933,94260033,0,0,12812896,2020,1,9748447
HUNTINGTON BEACH HOSPITAL,Orange,20201,OPEN,Comparable,131,5896,5533,43211163,14756096,1372787,0,15315078,15402010,0,0,227171,2020,1,3158489
HUNTINGTON MEMORIAL HOSPITAL,Los Angeles,20201,OPEN,Comparable,573,29669,40971,655104856,206217437,16373560,0,151112064,165312550,0,0,71577229,2020,1,9748447
JEROLD PHELPS COMMUNITY HOSPITAL,Humboldt,20201,OPEN,Comparable,17,1012,3536,737773,2757855,0,0,1804740,3578145,0,0,0,2020,1,135013
JOHN C. FREMONT HEALTHCARE DISTRICT,Mariposa,20201,OPEN,Comparable,33,2516,11026,3672403,8058964,562678,0,5162003,7207748,0,0,102549,2020,1,17095
JOHN F. KENNEDY MEMORIAL HOSPITAL,Riverside,20201,OPEN,Comparable,145,5434,15374,190020620,133526601,2169028,0,38779616,34268098,0,0,439787,2020,1,2479628
JOHN MUIR BEHAVIORAL HEALTH CENTER,Contra Costa,20201,OPEN,Comparable,51,4641,4727,17889750,5290970,120104,0,10699756,11604564,0,0,1398843,2020,1,1160296
JOHN MUIR MEDICAL CENTER - CONCORD CAMPUS,Contra Costa,20201,OPEN,Comparable,215,13917,27201,526679034,249942468,7312570,0,111002029,120993105,0,0,1420984,2020,1,1160296
JOHN MUIR MEDICAL CENTER - WALNUT CREEK,Contra Costa,20201,OPEN,Comparable,399,25949,67909,816793181,304915322,3596351,0,229546768,218509781,0,0,8176706,2020,1,1160296
KAWEAH DELTA MEDICAL CENTER,Tulare,20201,OPEN,Comparable,576,38884,166792,305909313,277714559,10850479,13581852,167573890,187508256,0,0,10380871,2020,1,478288
KECK HOSPITAL OF USC,Los Angeles,20201,OPEN,Comparable,350,20097,79517,588537082,407871605,2022205,0,298600278,300514095,0,0,11720028,2020,1,9748447
KEDREN COMMUNITY MENTAL HEALTH CENTER,Los Angeles,20201,OPEN,Comparable,72,4562,23756,5830088,2848339,0,0,8678427,9143131,0,0,34007,2020,1,9748447
KENTFIELD HOSPITAL,Marin,20201,OPEN,Comparable,100,7676,3006,41366507,909479,0,0,19733251,15608661,0,0,64943,2020,1,257143
KERN MEDICAL CENTER,Kern,20201,OPEN,Comparable,204,12903,53500,127662123,105520119,7877191,0,62357752,104384800,0,0,4807639,2020,1,917293
KERN VALLEY HOSPITAL DISTRICT,Kern,20201,OPEN,Comparable,99,5590,7131,9693020,17489388,543044,0,6409754,6628728,0,0,100988,2020,1,917293
KINDRED HOSPITAL - BALDWIN PARK,Los Angeles,20201,OPEN,Comparable,91,6710,0,62452145,0,455060,0,13303425,9860871,0,0,395086,2020,1,9748447
KINDRED HOSPITAL - BREA,Orange,20201,OPEN,Comparable,86,6703,0,36932642,0,0,0,10529480,8248952,0,0,0,2020,1,3158489
KINDRED HOSPITAL - LA MIRADA,Los Angeles,20201,OPEN,Comparable,248,12341,0,111611206,0,377026,0,25380858,20439621,0,0,12839063,2020,1,9748447
KINDRED HOSPITAL - LOS ANGELES,Los Angeles,20201,OPEN,Comparable,81,7023,0,80491950,0,0,0,14089182,10852798,0,0,329954,2020,1,9748447
KINDRED HOSPITAL - ONTARIO,San Bernardino,20201,OPEN,Comparable,91,6916,0,73079387,0,489528,0,12895817,10578219,0,0,709240,2020,1,2196029
KINDRED HOSPITAL - RANCHO,San Bernardino,20201,OPEN,Comparable,55,4451,183,50932760,2102912,163581,0,10624123,10515155,0,0,103341,2020,1,2196029
KINDRED HOSPITAL - RIVERSIDE,Riverside,20201,OPEN,Comparable,40,3323,0,36993686,0,-23060,0,7106378,7206003,0,0,49475,2020,1,2479628
KINDRED HOSPITAL - SAN DIEGO,San Diego,20201,OPEN,Comparable,70,4325,0,31722083,0,936738,0,7315584,9208052,0,0,110101,2020,1,3283755
KINDRED HOSPITAL - SAN FRANCISCO BAY AREA,Alameda,20201,OPEN,Comparable,99,6075,0,59010557,0,9018,0,12342980,11920374,0,0,162380,2020,1,1635693
KINDRED HOSPITAL - SOUTH BAY,Los Angeles,20201,OPEN,Comparable,54,4338,0,41146656,0,-59617,0,9020751,7204184,0,0,37371,2020,1,9748447
